,0,1,2,3,4,5,6
0,10.0,2.0,1.0,0.5,0.015521526336669922,0.009006261825561523,85.20710059171599
1,10.0,2.0,1.0,1.0,0.012509346008300781,0.007505178451538086,86.19329388560158
2,10.0,2.0,1.0,1.5,0.016009092330932617,0.006507396697998047,86.3905325443787
3,10.0,2.0,5.0,0.5,0.010506629943847656,0.005504608154296875,87.17948717948718
4,10.0,2.0,5.0,1.0,0.009510993957519531,0.0045032501220703125,87.3767258382643
5,10.0,2.0,5.0,1.5,0.011507987976074219,0.005003929138183594,87.57396449704143
6,10.0,2.0,10.0,0.5,0.010507583618164062,0.004003047943115234,87.57396449704143
7,10.0,2.0,10.0,1.0,0.01300954818725586,0.004002571105957031,87.96844181459566
8,10.0,2.0,10.0,1.5,0.0120086669921875,0.0039975643157958984,87.77120315581854
9,10.0,2.0,50.0,0.5,0.02902507781982422,0.0035028457641601562,88.95463510848126
10,10.0,2.0,50.0,1.0,0.038028717041015625,0.0035011768341064453,88.75739644970415
11,10.0,2.0,50.0,1.5,0.03852248191833496,0.0035026073455810547,88.75739644970415
12,10.0,3.0,1.0,0.5,0.015511035919189453,0.009006977081298828,85.4043392504931
13,10.0,3.0,1.0,1.0,0.01150822639465332,0.006003379821777344,86.58777120315581
14,10.0,3.0,1.0,1.5,0.011508464813232422,0.005003929138183594,86.98224852071006
15,10.0,3.0,5.0,0.5,0.0095062255859375,0.005008220672607422,88.16568047337279
16,10.0,3.0,5.0,1.0,0.009006023406982422,0.004002809524536133,87.57396449704143
17,10.0,3.0,5.0,1.5,0.01351022720336914,0.003502368927001953,87.57396449704143
18,10.0,3.0,10.0,0.5,0.012004375457763672,0.004003047943115234,88.56015779092702
19,10.0,3.0,10.0,1.0,0.016511201858520508,0.003507375717163086,88.75739644970415
20,10.0,3.0,10.0,1.5,0.013504505157470703,0.0030028820037841797,88.75739644970415
21,10.0,3.0,50.0,0.5,0.041033267974853516,0.0035026073455810547,88.95463510848126
22,10.0,3.0,50.0,1.0,0.040029287338256836,0.0030012130737304688,89.15187376725838
23,10.0,3.0,50.0,1.5,0.044026851654052734,0.0035011768341064453,89.3491124260355
24,10.0,4.0,1.0,0.5,0.01801776885986328,0.012008190155029297,84.41814595660749
25,10.0,4.0,1.0,1.0,0.011519193649291992,0.006505727767944336,86.3905325443787
26,10.0,4.0,1.0,1.5,0.01801156997680664,0.005003452301025391,87.57396449704143
27,10.0,4.0,5.0,0.5,0.01150822639465332,0.006505727767944336,88.3629191321499
28,10.0,4.0,5.0,1.0,0.018507957458496094,0.004503488540649414,88.56015779092702
29,10.0,4.0,5.0,1.5,0.017016172409057617,0.004002809524536133,88.75739644970415
30,10.0,4.0,10.0,0.5,0.013509750366210938,0.0045032501220703125,88.56015779092702
31,10.0,4.0,10.0,1.0,0.027520179748535156,0.0034978389739990234,88.75739644970415
32,10.0,4.0,10.0,1.5,0.02101588249206543,0.004002571105957031,88.56015779092702
33,10.0,4.0,50.0,0.5,0.04804849624633789,0.003500699996948242,89.15187376725838
34,10.0,4.0,50.0,1.0,0.07405281066894531,0.0035021305084228516,89.3491124260355
35,10.0,4.0,50.0,1.5,0.09256720542907715,0.003985166549682617,89.54635108481263
36,10.0,5.0,1.0,0.5,0.023527145385742188,0.014011621475219727,84.81262327416174
37,10.0,5.0,1.0,1.0,0.012008905410766602,0.006005048751831055,87.17948717948718
38,10.0,5.0,1.0,1.5,0.014509439468383789,0.004508018493652344,87.77120315581854
39,10.0,5.0,5.0,0.5,0.014510154724121094,0.00600433349609375,88.56015779092702
40,10.0,5.0,5.0,1.0,0.026523351669311523,0.00400233268737793,88.56015779092702
41,10.0,5.0,5.0,1.5,0.024018049240112305,0.0035016536712646484,88.75739644970415
42,10.0,5.0,10.0,0.5,0.011008024215698242,0.004002809524536133,88.56015779092702
43,10.0,5.0,10.0,1.0,0.025016307830810547,0.0035033226013183594,88.75739644970415
44,10.0,5.0,10.0,1.5,0.03050374984741211,0.0035026073455810547,88.75739644970415
45,10.0,5.0,50.0,0.5,0.10057282447814941,0.004002809524536133,89.74358974358975
46,10.0,5.0,50.0,1.0,0.17199087142944336,0.0,89.74358974358975
47,10.0,5.0,50.0,1.5,0.3173558712005615,0.006003379821777344,89.3491124260355
48,10.0,6.0,1.0,0.5,0.024020910263061523,0.015010833740234375,83.23471400394477
49,10.0,6.0,1.0,1.0,0.013698577880859375,0.0,87.3767258382643
50,10.0,6.0,1.0,1.5,0.015624761581420898,0.0,87.77120315581854
51,10.0,6.0,5.0,0.5,0.01562643051147461,0.0,88.16568047337279
52,10.0,6.0,5.0,1.0,0.015625476837158203,0.0,88.95463510848126
53,10.0,6.0,5.0,1.5,0.029281139373779297,0.004003047943115234,88.56015779092702
54,10.0,6.0,10.0,0.5,0.0120086669921875,0.005003213882446289,88.56015779092702
